"Carimbo de data/hora","Perguntas [Eu acho que gostaria de usar esse sistema com frequência.]","Perguntas [Eu acho o sistema desnecessariamente complexo.]","Perguntas [Eu achei o sistema fácil de usar.]","Perguntas [Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar o sistema.]","Perguntas [Eu acho que as várias funções do sistema estão muito bem integradas.]","Perguntas [Eu acho que o sistema apresenta muita inconsistência.]","Perguntas [Eu imagino que as pessoas aprenderão como usar esse sistema rapidamente.]","Perguntas [Eu achei o sistema atrapalhado de usar.]","Perguntas [Eu me senti confiante ao usar o sistema.]","Perguntas [Eu precisei aprender várias coisas novas antes de conseguir usar o sistema.]"
"2021/03/26 9:35:46 PM GMT-3","4","2","5 - Concordo Fortemente","1 - Discordo fortemente","4","2","5 - Concordo Fortemente","2","4","1 - Discordo fortemente"
"2021/03/26 9:36:42 PM GMT-3","4","2","5 - Concordo Fortemente","1 - Discordo fortemente","4","2","5 - Concordo Fortemente","2","4","1 - Discordo fortemente"
"2021/03/26 9:36:47 PM GMT-3","2","2","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente"
"2021/03/26 9:36:52 PM GMT-3","4","2","4","1 - Discordo fortemente","4","2","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","2"
"2021/03/26 9:37:43 PM GMT-3","4","2","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","3","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente"
"2021/03/26 9:38:47 PM GMT-3","4","1 - Discordo fortemente","3","2","5 - Concordo Fortemente","2","5 - Concordo Fortemente","2","4","2"
"2021/03/26 9:40:03 PM GMT-3","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","3","4","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente","5 - Concordo Fortemente","2"
"2021/03/26 9:40:52 PM GMT-3","4","2","4","5 - Concordo Fortemente","4","1 - Discordo fortemente","4","1 - Discordo fortemente","5 - Concordo Fortemente","1 - Discordo fortemente"
"2021/03/26 10:21:41 PM GMT-3","4","2","4","1 - Discordo fortemente","3","3","4","2","3","2"
"2021/03/26 10:28:49 PM GMT-3","3","2","4","3","3","4","3","2","3","3"
"2021/03/26 10:29:36 PM GMT-3","2","4","2","4","2","4","2","4","2","4"